Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
RA,Fertilizers archive,9,Argentina,5157,Consumption,1818,Total Fertilizers,1975,1975,tonnes,60300,*,Unofficial figure
RA,Fertilizers archive,9,Argentina,5157,Consumption,1818,Total Fertilizers,1976,1976,tonnes,78229,,Official data
RA,Fertilizers archive,9,Argentina,5157,Consumption,1818,Total Fertilizers,1977,1977,tonnes,74305,,Official data
RA,Fertilizers archive,9,Argentina,5157,Consumption,1818,Total Fertilizers,1978,1978,tonnes,107075,,Official data
RA,Fertilizers archive,9,Argentina,5157,Consumption,1818,Total Fertilizers,1979,1979,tonnes,130082,,Official data
RA,Fertilizers archive,9,Argentina,5157,Consumption,1818,Total Fertilizers,1980,1980,tonnes,115568,,Official data
RA,Fertilizers archive,9,Argentina,5157,Consumption,1818,Total Fertilizers,1981,1981,tonnes,96475,,Official data
RA,Fertilizers archive,9,Argentina,5157,Consumption,1818,Total Fertilizers,1982,1982,tonnes,106700,,Official data
RA,Fertilizers archive,9,Argentina,5157,Consumption,1818,Total Fertilizers,1983,1983,tonnes,118500,*,Unofficial figure
RA,Fertilizers archive,9,Argentina,5157,Consumption,1818,Total Fertilizers,1984,1984,tonnes,158500,*,Unofficial figure
RA,Fertilizers archive,9,Argentina,5157,Consumption,1818,Total Fertilizers,1985,1985,tonnes,162600,*,Unofficial figure
RA,Fertilizers archive,9,Argentina,5157,Consumption,1818,Total Fertilizers,1986,1986,tonnes,151144,,Official data
RA,Fertilizers archive,9,Argentina,5157,Consumption,1818,Total Fertilizers,1987,1987,tonnes,167900,*,Unofficial figure
RA,Fertilizers archive,9,Argentina,5157,Consumption,1818,Total Fertilizers,1988,1988,tonnes,162500,,Official data
RA,Fertilizers archive,9,Argentina,5157,Consumption,1818,Total Fertilizers,1989,1989,tonnes,153100,,Official data
RA,Fertilizers archive,9,Argentina,5157,Consumption,1818,Total Fertilizers,1990,1990,tonnes,165500,,Official data
RA,Fertilizers archive,9,Argentina,5157,Consumption,1818,Total Fertilizers,1991,1991,tonnes,167300,*,Unofficial figure
RA,Fertilizers archive,9,Argentina,5157,Consumption,1818,Total Fertilizers,1992,1992,tonnes,248200,*,Unofficial figure
RA,Fertilizers archive,9,Argentina,5157,Consumption,1818,Total Fertilizers,1993,1993,tonnes,293900,*,Unofficial figure
RA,Fertilizers archive,9,Argentina,5157,Consumption,1818,Total Fertilizers,1994,1994,tonnes,462000,*,Unofficial figure
RA,Fertilizers archive,9,Argentina,5157,Consumption,1818,Total Fertilizers,1995,1995,tonnes,524700,*,Unofficial figure
RA,Fertilizers archive,9,Argentina,5157,Consumption,1818,Total Fertilizers,1996,1996,tonnes,855200,*,Unofficial figure
RA,Fertilizers archive,9,Argentina,5157,Consumption,1818,Total Fertilizers,1997,1997,tonnes,809600,*,Unofficial figure
RA,Fertilizers archive,9,Argentina,5157,Consumption,1818,Total Fertilizers,1998,1998,tonnes,775500,,Official data
RA,Fertilizers archive,9,Argentina,5157,Consumption,1818,Total Fertilizers,1999,1999,tonnes,823500,,Official data
RA,Fertilizers archive,9,Argentina,5157,Consumption,1818,Total Fertilizers,2000,2000,tonnes,862983,,Official data
RA,Fertilizers archive,9,Argentina,5157,Consumption,1818,Total Fertilizers,2001,2001,tonnes,861991,*,Unofficial figure
RA,Fertilizers archive,9,Argentina,5157,Consumption,1818,Total Fertilizers,2002,2002,tonnes,739526,,Official data
RA,Fertilizers archive,1,Armenia,5157,Consumption,1818,Total Fertilizers,1992,1992,tonnes,25000,*,Unofficial figure
RA,Fertilizers archive,1,Armenia,5157,Consumption,1818,Total Fertilizers,1993,1993,tonnes,15000,,Official data
RA,Fertilizers archive,1,Armenia,5157,Consumption,1818,Total Fertilizers,1994,1994,tonnes,7000,,Official data
RA,Fertilizers archive,1,Armenia,5157,Consumption,1818,Total Fertilizers,1995,1995,tonnes,7000,,Official data
RA,Fertilizers archive,1,Armenia,5157,Consumption,1818,Total Fertilizers,1996,1996,tonnes,8000,,Official data
RA,Fertilizers archive,1,Armenia,5157,Consumption,1818,Total Fertilizers,1997,1997,tonnes,8000,,Official data
RA,Fertilizers archive,1,Armenia,5157,Consumption,1818,Total Fertilizers,1998,1998,tonnes,9620,,Official data
RA,Fertilizers archive,1,Armenia,5157,Consumption,1818,Total Fertilizers,1999,1999,tonnes,6158,,Official data
RA,Fertilizers archive,1,Armenia,5157,Consumption,1818,Total Fertilizers,2000,2000,tonnes,7000,,Official data
RA,Fertilizers archive,1,Armenia,5157,Consumption,1818,Total Fertilizers,2001,2001,tonnes,5000,,Official data
RA,Fertilizers archive,1,Armenia,5157,Consumption,1818,Total Fertilizers,2002,2002,tonnes,11283,,Official data
RA,Fertilizers archive,10,Australia,5157,Consumption,1818,Total Fertilizers,1961,1961,tonnes,670750,,Official data
RA,Fertilizers archive,10,Australia,5157,Consumption,1818,Total Fertilizers,1962,1962,tonnes,651938,,Official data
RA,Fertilizers archive,10,Australia,5157,Consumption,1818,Total Fertilizers,1963,1963,tonnes,748792,,Official data
RA,Fertilizers archive,10,Australia,5157,Consumption,1818,Total Fertilizers,1964,1964,tonnes,971201,,Official data
RA,Fertilizers archive,10,Australia,5157,Consumption,1818,Total Fertilizers,1965,1965,tonnes,1086240,,Official data
RA,Fertilizers archive,10,Australia,5157,Consumption,1818,Total Fertilizers,1966,1966,tonnes,1128490,,Official data
RA,Fertilizers archive,10,Australia,5157,Consumption,1818,Total Fertilizers,1967,1967,tonnes,1091100,,Official data
RA,Fertilizers archive,10,Australia,5157,Consumption,1818,Total Fertilizers,1968,1968,tonnes,1141390,,Official data
